workload	category	backend	sample	elapsed_ns	user_cpu_ns	system_cpu_ns	voluntary_context_switches	involuntary_context_switches	operations	byte_count
id-u	application	kvm	8	266969533	5279000	13280000	14	3	0	0
id-u	application	ptrace	8	116563838	2110000	68147000	452	220	0	0
printf	application	kvm	8	116648426	931000	14728000	14	5	0	0
printf	application	ptrace	8	66318580	1900000	48437000	317	153	0	0
cat-stream	throughput	kvm	8	216872088	8738000	16487000	14	3	0	16777216
cat-stream	throughput	ptrace	8	217087334	4215000	191844000	1371	682	0	16777216
syscall-baseline	microbaseline	kvm	8	117107941	2169000	14459000	14	2	0	0
syscall-baseline	microbaseline	ptrace	8	67109847	184000	47970000	286	140	0	0
syscall-loop	syscall	kvm	8	216957958	83399000	66151000	14	5	10000	0
syscall-loop	syscall	ptrace	8	5734409795	35064000	5448904000	40397	20175	10000	0
pipe-baseline	microbaseline	kvm	8	116750741	3828000	12903000	14	4	0	0
pipe-baseline	microbaseline	ptrace	8	67538425	3009000	47674000	307	148	0	0
pipe-roundtrip	boundary	kvm	8	166913735	55760000	29274000	12	4	2000	0
pipe-roundtrip	boundary	ptrace	8	1223596711	16723000	1134727000	8328	4155	2000	0
echo	application	ptrace	9	67668992	3285000	48546000	321	153	0	0
echo	application	kvm	9	116776049	1931000	15264000	13	3	0	0
ls-64	application	ptrace	9	116777852	378000	83067000	544	273	0	0
ls-64	application	kvm	9	116643749	2052000	17428000	14	2	0	0
true	application	ptrace	9	67355508	3079000	43679000	287	137	0	0
true	application	kvm	9	116824622	1459000	14148000	13	3	0	0
pwd	application	ptrace	9	66672365	1399000	50123000	324	155	0	0
pwd	application	kvm	9	66596560	1826000	14226000	12	3	0	0
seq-10	application	ptrace	9	66708820	930000	50900000	323	156	0	0
seq-10	application	kvm	9	116710991	927000	16867000	13	2	0	0
head-readme	application	ptrace	9	66182525	2218000	51539000	343	165	0	0
head-readme	application	kvm	9	116346850	2948000	12746000	13	3	0	0
base64-readme	application	ptrace	9	66414816	253000	56397000	365	176	0	0
base64-readme	application	kvm	9	66652144	0	15833000	13	6	0	0
id-u	application	ptrace	9	116897793	5176000	66447000	453	222	0	0
id-u	application	kvm	9	217068356	5223000	13639000	13	2	0	0
printf	application	ptrace	9	66662379	1268000	50975000	324	152	0	0
printf	application	kvm	9	168529828	2010000	15082000	14	3	0	0
cat-stream	throughput	ptrace	9	266913398	2749000	190725000	1370	680	0	16777216
cat-stream	throughput	kvm	9	166558428	14068000	11795000	14	3	0	16777216
syscall-baseline	microbaseline	ptrace	9	66944357	4536000	41927000	287	145	0	0
syscall-baseline	microbaseline	kvm	9	117472141	3912000	11785000	14	2	0	0
syscall-loop	syscall	ptrace	9	5678972267	28529000	5388511000	40387	20185	10000	0
syscall-loop	syscall	kvm	9	218464987	89001000	61930000	12	6	10000	0
pipe-baseline	microbaseline	ptrace	9	67038919	845000	49941000	311	148	0	0
pipe-baseline	microbaseline	kvm	9	117288223	2180000	15832000	14	5	0	0
pipe-roundtrip	boundary	ptrace	9	1219588712	12168000	1113848000	8331	4152	2000	0
pipe-roundtrip	boundary	kvm	9	168053818	56461000	29275000	11	9	2000	0
echo	application	kvm	10	67014662	3113000	12543000	14	3	0	0
echo	application	ptrace	10	67294465	1385000	51636000	322	153	0	0
ls-64	application	kvm	10	67456010	5855000	15055000	13	3	0	0
ls-64	application	ptrace	10	117773437	5743000	79869000	545	269	0	0
true	application	kvm	10	117280482	3193000	15570000	14	3	0	0
true	application	ptrace	10	67483691	2200000	47988000	289	137	0	0
pwd	application	kvm	10	118376219	2874000	16606000	13	6	0	0
pwd	application	ptrace	10	67489941	4480000	50975000	333	163	0	0
seq-10	application	kvm	10	67043356	6006000	12843000	14	4	0	0
seq-10	application	ptrace	10	66992789	2930000	50890000	319	156	0	0
head-readme	application	kvm	10	67157178	3956000	14075000	15	2	0	0
head-readme	application	ptrace	10	67116377	4229000	52990000	347	171	0	0
base64-readme	application	kvm	10	67076426	2988000	15016000	14	5	0	0
base64-readme	application	ptrace	10	116848248	3188000	55745000	365	180	0	0
id-u	application	kvm	10	66598454	3852000	15536000	14	3	0	0
id-u	application	ptrace	10	116919926	2646000	67030000	448	218	0	0
printf	application	kvm	10	66864645	2992000	15753000	13	4	0	0
printf	application	ptrace	10	66642950	5282000	48127000	319	158	0	0
cat-stream	throughput	kvm	10	117379481	11370000	17098000	14	4	0	16777216
cat-stream	throughput	ptrace	10	218416293	5998000	189513000	1372	680	0	16777216
